Name	Rarity	Class-Specific	Description	Flavor Text	Conditions for Spawning
Burning Blood	Starter	Ironclad	At the end of combat, heal 6 HP.	Your body's own blood burns with an undying rage.	
Cracked Core	Starter	Defect	At the start of each combat, Channel 1 Lightning.	The mysterious life force which powers the Automatons within the Spire. It appears to be cracked.	
Pure Water	Starter	Watcher	At the start of each combat, add a Miracle into your hand.	Filtered through fine sand and free of impurities.	
Ring of the Snake	Starter	Silent	At the start of each combat, draw 2 additional cards.	Made from a fossilized snake. Represents great skill as a huntress.	
Akabeko	Common		Your first Attack each combat deals 8 additional damage.	"Muuu~"	
Anchor	Common		Start each combat with 10 Block.	Holding this miniature trinket, you feel heavier and more stable.	
Ancient Tea Set	Common		Whenever you enter a Rest Site, start the next combat with [E] [E] .	The key to a refreshing night's rest.	Below floor 49
Art of War	Common		If you do not play any Attacks during your turn, gain an additional [E] next turn.	This ancient manuscript contains wisdom from a past age.	
Bag of Marbles	Common		At the start of each combat, apply 1 Vulnerable to ALL enemies.	A once popular toy in the City. Useful for throwing enemies off balance.	
Bag of Preparation	Common		At the start of each combat, draw 2 additional cards.	Oversized adventurer's pack. Has many pockets and straps.	
Blood Vial	Common		At the start of each combat, heal 2 HP.	A vial containing the blood of a pure and elder vampire.	
Bronze Scales	Common		Start each combat with 3 Thorns.	The sharp scales of the Guardian. Rearranges itself to protect its user.	
Centennial Puzzle	Common		The first time you lose HP each combat, draw 3 cards.	Upon solving the puzzle, you feel a powerful warmth in your chest.	
Ceramic Fish	Common		Whenever you add a card to your deck, gain 9 Gold.	Meticulously painted, these fish were revered to bring great fortune.	Below floor 49
Damaru	Common	Watcher	At the start of your turn, gain 1 Mantra.	The sound of the small drum keeps your mind awake, revealing a path forward.	
Data Disk	Common	Defect	Start each combat with 1 Focus.	This disk contains precious data on birds and snakes.	
Dream Catcher	Common		Whenever you Rest, you may add a card into your deck.	The northern tribes would often use dream catchers at night, believing they led to self improvement.	Below floor 49
Happy Flower	Common		Every 3 turns, gain [E] .	This unceasingly joyous plant is a popular novelty item among nobles.	
Juzu Bracelet	Common		Normal enemy combats are no longer encountered in ? rooms.	A ward against the unknown.	Below floor 49
Lantern	Common		Start each combat with an additional [E] .	An eerie lantern which illuminates only for the wielder.	
Maw Bank	Common		Whenever you climb a floor, gain 12 Gold. No longer works when you spend any Gold at a shop.	Surprisingly popular, despite maw attacks being a regular occurrence.	Below floor 49 and not in a shop
Meal Ticket	Common		Whenever you enter a shop, heal 15 HP.	"Complimentary meatballs with every visit!"	Below floor 49
Nunchaku	Common		Every time you play 10 Attacks, gain [E] .	A good training tool. Improves the posture and agility of the wielder.	
Oddly Smooth Stone	Common		Start each combat with 1 Dexterity.	You have never seen something so smooth and pristine. This must be the work of the Ancients.	
Omamori	Common		Negate the next 2 Curses you obtain.	A common charm for staving off vile spirits. This one seems to possess a spark of divine energy.	Below floor 49
Orichalcum	Common		If you end your turn without Block, gain 6 Block.	A green tinted metal of an unknown origin. Seemingly indestructible.	
Pen Nib	Common		Every 10th Attack you play deals double damage.	Holding the nib, you can see everyone ever slain by a previous owner of the pen. A violent history.	
Potion Belt	Common		Upon pickup, gain 2 Potion slots.	I can hold more Potions using this belt!	Below floor 49
Preserved Insect	Common		Enemies in Elite combats have 25% less HP.	The insect seems to create a shrinking aura that targets particularly large enemies.	Below floor 53
Red Skull	Common	Ironclad	While your HP is at or below 50%, you have 3 additional Strength.	A small skull covered in ornamental paint.	
Regal Pillow	Common		Whenever you Rest, heal an additional 15 HP.	Now you can get a proper night's rest.	Below floor 49
Smiling Mask	Common		The Merchant's card removal service now always costs 50 Gold.	Mask worn by the Merchant. He must have spares...	Below floor 49 and not in a shop
Snecko Skull	Common	Silent	Whenever you apply Poison, apply an additional 1 Poison.	A snecko skull in pristine condition. Mysteriously clean and smooth, dirt and grime fall off inexplicably.	
Strawberry	Common		Upon pickup, raise your Max HP by 7.	"Delicious! Haven't seen any of these since the blight." - Ranwid	
The Boot	Common		Whenever you would deal 4 or less unblocked attack damage, increase it to 5.	When wound up, the boot grows larger in size.	
Tiny Chest	Common		Every 4th ? room is a Treasure room.	"A fine prototype." - The Architect	Below floor 36
Toy Ornithopter	Common		Whenever you use a potion, heal 5 HP.	"This little toy is the perfect companion for the lone adventurer!"	
Vajra	Common		Start each combat with 1 Strength.	An ornamental relic given to warriors displaying glory in battle.	
War Paint	Common		Upon pickup, Upgrade 2 random Skills.	In the past, Ironclads would create wards using enchanted war paint before charging into battle.	
Whetstone	Common		Upon pickup, Upgrade 2 random Attacks.	"Flesh never beats steel." - Kublai the Great	
